학원번호,X,Y,상담유형,방문시간
4,126.9061061,37.56929705,신체적 정신적 건강,19
4,126.9061061,37.56929705,진로 및 적성,20
15,126.9580154,37.55327854,가정환경,19
11,126.9268837,37.5546018,가정환경,19
13,126.9473086,37.5535666,경제적 어려움,21
13,126.9473086,37.5535666,가정환경,20
10,126.9111576,37.5553472,외모,18
6,126.9394258,37.54670824,신체적 정신적 건강,18
2,126.8930697,37.57630816,외모,22
6,126.9394258,37.54670824,대인관계,20
2,126.8930697,37.57630816,성적,18
6,126.9394258,37.54670824,성적,19
8,126.9530815,37.54711001,경제적 어려움,22
9,126.9315773,37.54716014,대인관계,21
9,126.9315773,37.54716014,외모,23
16,126.9187402,37.55054485,외모,19
3,126.9442751,37.54461185,대인관계,20
14,126.9498621,37.53887854,진로 및 적성,19
2,126.8930697,37.57630816,경제적 어려움,22
1,126.8813867,37.58184281,가정환경,18
1,126.8813867,37.58184281,진로 및 적성,22
16,126.9187402,37.55054485,외모,20
7,126.936161,37.55453562,대인관계,21
6,126.9394258,37.54670824,성적,20
6,126.9394258,37.54670824,가정환경,16
3,126.9442751,37.54461185,성적,23
9,126.9315773,37.54716014,성적,17
9,126.9315773,37.54716014,성적,22
5,126.9030374,37.55839451,성적,19
10,126.9111576,37.5553472,진로 및 적성,20
11,126.9268837,37.5546018,신체적 정신적 건강,20
12,126.9202243,37.55854111,외모,17
16,126.9187402,37.55054485,경제적 어려움,21
2,126.8930697,37.57630816,신체적 정신적 건강,18
1,126.8813867,37.58184281,대인관계,18
1,126.8813867,37.58184281,신체적 정신적 건강,19
4,126.9061061,37.56929705,외모,21
5,126.9030374,37.55839451,대인관계,19
14,126.9498621,37.53887854,대인관계,23
10,126.9111576,37.5553472,진로 및 적성,21
3,126.9442751,37.54461185,가정환경,18
13,126.9473086,37.5535666,성적,16
13,126.9473086,37.5535666,신체적 정신적 건강,20
12,126.9202243,37.55854111,경제적 어려움,17
11,126.9268837,37.5546018,경제적 어려움,17
2,126.8930697,37.57630816,진로 및 적성,17
16,126.9187402,37.55054485,대인관계,19
13,126.9473086,37.5535666,가정환경,23
14,126.9498621,37.53887854,경제적 어려움,16
11,126.9268837,37.5546018,대인관계,16
4,126.9061061,37.56929705,진로 및 적성,17
16,126.9187402,37.55054485,외모,21
4,126.9061061,37.56929705,성적,22
7,126.936161,37.55453562,신체적 정신적 건강,20
16,126.9187402,37.55054485,신체적 정신적 건강,18
1,126.8813867,37.58184281,가정환경,21
13,126.9473086,37.5535666,외모,18
3,126.9442751,37.54461185,가정환경,17
4,126.9061061,37.56929705,가정환경,21
16,126.9187402,37.55054485,가정환경,16
3,126.9442751,37.54461185,경제적 어려움,20
7,126.936161,37.55453562,외모,18
1,126.8813867,37.58184281,성적,20
15,126.9580154,37.55327854,진로 및 적성,18
11,126.9268837,37.5546018,가정환경,20
6,126.9394258,37.54670824,신체적 정신적 건강,23
9,126.9315773,37.54716014,외모,16
11,126.9268837,37.5546018,대인관계,17
15,126.9580154,37.55327854,성적,16
10,126.9111576,37.5553472,진로 및 적성,23
1,126.8813867,37.58184281,가정환경,23
9,126.9315773,37.54716014,성적,21
5,126.9030374,37.55839451,진로 및 적성,17
10,126.9111576,37.5553472,가정환경,18
7,126.936161,37.55453562,경제적 어려움,19
7,126.936161,37.55453562,진로 및 적성,21
12,126.9202243,37.55854111,성적,19
13,126.9473086,37.5535666,신체적 정신적 건강,20
