상담소번호,X,Y,상담유형,방문시간
4,37.56929705,126.9061061,신체적 정신적 건강,19
4,37.56929705,126.9061061,진로 및 적성,20
15,37.55327854,126.9580154,가정환경,19
11,37.5546018,126.9268837,가정환경,19
13,37.5535666,126.9473086,경제적 어려움,21
13,37.5535666,126.9473086,가정환경,20
10,37.5553472,126.9111576,외모,18
6,37.54670824,126.9394258,신체적 정신적 건강,18
2,37.57630816,126.8930697,외모,22
6,37.54670824,126.9394258,대인관계,20
2,37.57630816,126.8930697,성적,18
6,37.54670824,126.9394258,성적,19
8,37.54711001,126.9530815,경제적 어려움,22
9,37.54716014,126.9315773,대인관계,21
9,37.54716014,126.9315773,외모,23
16,37.55054485,126.9187402,외모,19
3,37.54461185,126.9442751,대인관계,20
14,37.53887854,126.9498621,진로 및 적성,19
2,37.57630816,126.8930697,경제적 어려움,22
1,37.58184281,126.8813867,가정환경,18
1,37.58184281,126.8813867,진로 및 적성,22
16,37.55054485,126.9187402,외모,20
7,37.55453562,126.936161,대인관계,21
6,37.54670824,126.9394258,성적,20
6,37.54670824,126.9394258,가정환경,16
3,37.54461185,126.9442751,성적,23
9,37.54716014,126.9315773,성적,17
9,37.54716014,126.9315773,성적,22
5,37.55839451,126.9030374,성적,19
10,37.5553472,126.9111576,진로 및 적성,20
11,37.5546018,126.9268837,신체적 정신적 건강,20
12,37.55854111,126.9202243,외모,17
16,37.55054485,126.9187402,경제적 어려움,21
2,37.57630816,126.8930697,신체적 정신적 건강,18
1,37.58184281,126.8813867,대인관계,18
1,37.58184281,126.8813867,신체적 정신적 건강,19
4,37.56929705,126.9061061,외모,21
5,37.55839451,126.9030374,대인관계,19
14,37.53887854,126.9498621,대인관계,23
10,37.5553472,126.9111576,진로 및 적성,21
3,37.54461185,126.9442751,가정환경,18
13,37.5535666,126.9473086,성적,16
13,37.5535666,126.9473086,신체적 정신적 건강,20
12,37.55854111,126.9202243,경제적 어려움,17
11,37.5546018,126.9268837,경제적 어려움,17
2,37.57630816,126.8930697,진로 및 적성,17
16,37.55054485,126.9187402,대인관계,19
13,37.5535666,126.9473086,가정환경,23
14,37.53887854,126.9498621,경제적 어려움,16
11,37.5546018,126.9268837,대인관계,16
4,37.56929705,126.9061061,진로 및 적성,17
16,37.55054485,126.9187402,외모,21
4,37.56929705,126.9061061,성적,22
7,37.55453562,126.936161,신체적 정신적 건강,20
16,37.55054485,126.9187402,신체적 정신적 건강,18
1,37.58184281,126.8813867,가정환경,21
13,37.5535666,126.9473086,외모,18
3,37.54461185,126.9442751,가정환경,17
4,37.56929705,126.9061061,가정환경,21
16,37.55054485,126.9187402,가정환경,16
3,37.54461185,126.9442751,경제적 어려움,20
7,37.55453562,126.936161,외모,18
1,37.58184281,126.8813867,성적,20
15,37.55327854,126.9580154,진로 및 적성,18
11,37.5546018,126.9268837,가정환경,20
6,37.54670824,126.9394258,신체적 정신적 건강,23
9,37.54716014,126.9315773,외모,16
11,37.5546018,126.9268837,대인관계,17
15,37.55327854,126.9580154,성적,16
10,37.5553472,126.9111576,진로 및 적성,23
1,37.58184281,126.8813867,가정환경,23
9,37.54716014,126.9315773,성적,21
5,37.55839451,126.9030374,진로 및 적성,17
10,37.5553472,126.9111576,가정환경,18
7,37.55453562,126.936161,경제적 어려움,19
7,37.55453562,126.936161,진로 및 적성,21
12,37.55854111,126.9202243,성적,19
13,37.5535666,126.9473086,신체적 정신적 건강,20
16,37.55054485,126.9187402,신체적 정신적 건강,23
12,37.55854111,126.9202243,경제적 어려움,18
10,37.5553472,126.9111576,신체적 정신적 건강,19
3,37.54461185,126.9442751,신체적 정신적 건강,20
3,37.54461185,126.9442751,진로 및 적성,18
1,37.58184281,126.8813867,신체적 정신적 건강,19
13,37.5535666,126.9473086,경제적 어려움,20
5,37.55839451,126.9030374,대인관계,20
10,37.5553472,126.9111576,진로 및 적성,19
8,37.54711001,126.9530815,신체적 정신적 건강,19
12,37.55854111,126.9202243,경제적 어려움,23
8,37.54711001,126.9530815,외모,18
12,37.55854111,126.9202243,대인관계,21
10,37.5553472,126.9111576,진로 및 적성,22
3,37.54461185,126.9442751,신체적 정신적 건강,17
11,37.5546018,126.9268837,대인관계,16
3,37.54461185,126.9442751,가정환경,20
