학교명,X,Y
서울여자고등학교,126.9485971,37.5476912
상암고등학교,126.8838764,37.5811381
경성고등학교,126.9191729,37.5634279
광성고등학교,126.936511,37.548484
숭문고등학교,126.9455946,37.5511605
홍익대학교사범대학부속여자고등학교,126.9131109,37.5599663
서울디자인고등학교,126.9476749,37.5464756
한세사이버보안고등학교,126.952016,37.5516411
홍익디자인고등학교,126.9191729,37.5634279
성사중학교,126.9132965,37.5682305
성산중학교,126.9159694,37.5470358
성서중학교,126.9086105,37.5627721
신수중학교,126.9337033,37.5461791
아현중학교,126.9570702,37.5560289
중암중학교,126.9035462,37.5723662
서울여자중학교,126.9485971,37.5476912
상암중학교,126.8881521,37.5791151
창천중학교,126.9392265,37.5549058
경성중학교,126.9191729,37.5634279
광성중학교,126.936511,37.548484
동도중학교,126.9476749,37.5464756
숭문중학교,126.9455946,37.5511605
홍익대학교사범대학부속여자중학교,126.9131109,37.5599663
