"학교명","학교급구분","위도","경도"
"항동중학교","중학교","37.48285456","126.8201900078"
"서울개봉초등학교","초등학교","37.48952491","126.857976"
"이화여자대학교사범대학부속초등학교","초등학교","37.56115022","126.9427504"
"서울대학교사범대학부설초등학교","초등학교","37.5775997","127.0042955"
"연신중학교","중학교","37.62353926","126.9242879"
"서울윤중초등학교","초등학교","37.51964164","126.9225908"
"덕산중학교","중학교","37.6022574","126.9046771"
"서울중계초등학교","초등학교","37.65784243","127.0733117"
"서울염리초등학교","초등학교","37.54271029","126.945999"
"월곡중학교","중학교","37.60698163","127.0482588"
"대진디자인고등학교","고등학교","37.49042815","127.0959793"
"동덕여자중학교","중학교","37.47587863","126.991995"
"서울중평초등학교","초등학교","37.63753357","127.0639651"
"전일중학교","중학교","37.58250018","127.0583795"
"서울자운초등학교","초등학교","37.65801094","127.0466811"
"서울신당초등학교","초등학교","37.56362621","127.0236731"
"서울면중초등학교","초등학교","37.58244179","127.0965509"
"창일중학교","중학교","37.64898751","127.0469136"
"서울강서초등학교","초등학교","37.52241272","126.8409879"
"서울용동초등학교","초등학교","37.64108381","127.0690818"
"가락중학교","중학교","37.50248553","127.1187527"
"서울여자상업고등학교","고등학교","37.47290457","126.9509181"
"서울중현초등학교","초등학교","37.63251462","127.0659521"
"서울금천초등학교","초등학교","37.45481034","126.9128749"
"신원중학교","중학교","37.5370925","126.8248419"
"서울방현초등학교","초등학교","37.47650298","126.9900734"
"숙명여자중학교","중학교","37.49147536","127.0526126"
"서울봉천초등학교","초등학교","37.4832696","126.9581884"
"압구정중학교","중학교","37.53024224","127.0330027"
"광신중학교","중학교","37.4644762","126.9259406"
"고척고등학교","고등학교","37.50804938","126.8498691"
"동작중학교","중학교","37.49546195","126.9778016"
"경동고등학교","고등학교","37.58660133","127.0160317"
"서울보라매초등학교","초등학교","37.49585189","126.9161445"
"금성초등학교","초등학교","37.61531513","127.0898585"
"서울삼광초등학교","초등학교","37.54775231","126.9765943"
"한천중학교","중학교","37.63131395","127.0724683"
"장평중학교","중학교","37.56685961","127.0704776"
"서울아주초등학교","초등학교","37.50582689","127.075764"
"송곡고등학교","고등학교","37.60584544","127.1064637"
"강현중학교","중학교","37.50311599","126.9307563"
"서울대학교사범대학부설고등학교","고등학교","37.59472384","127.0381204"
"서울광진초등학교","초등학교","37.54761146","127.0913325"
"언북중학교","중학교","37.51942855","127.0331263"
"영파여자중학교","중학교","37.53273562","127.1197395"
"서울신용산초등학교","초등학교","37.52062959","126.9753663"
"해성여자고등학교","고등학교","37.5818726","127.0569769"
"경복비즈니스고등학교","고등학교","37.55802536","126.8526703"
"서울온곡초등학교","초등학교","37.66754054","127.0659829"
"동명여자고등학교","고등학교","37.61441879","126.9228204"
"경원중학교","중학교","37.5115816","127.0090183"
"개봉중학교","중학교","37.50352932","126.8423998"
"화원중학교","중학교","37.53621409","126.8424164"
"문일고등학교","고등학교","37.44891526","126.8987207"
"금옥중학교","중학교","37.51096532","126.8439717"
"청원중학교","중학교","37.66525155","127.0625329"
"경희여자고등학교","고등학교","37.59394914","127.054891"
"개포고등학교","고등학교","37.48495285","127.0594065"
"동덕여자고등학교","고등학교","37.47583666","126.991995"
"잠실중학교","중학교","37.51781757","127.0986662"
"서울옥수초등학교","초등학교","37.54552939","127.0218696"
"서울거여초등학교","초등학교","37.50516942","127.1409011"
"서울남천초등학교","초등학교","37.50144683","127.1507951"
"서울동일초등학교","초등학교","37.66481537","127.0541700176"
"서울영풍초등학교","초등학교","37.4962199971","127.1430148"
"인헌고등학교","고등학교","37.47231073","126.9704851"
"서울신서초등학교","초등학교","37.52055887","126.8623309"
"봉원중학교","중학교","37.48410274","126.9588909"
"서울송정초등학교","초등학교","37.56223089","126.8102813"
"서울정화고등학교","고등학교","37.58604864","127.0410703"
"청원초등학교","초등학교","37.66525155","127.0625329"
"하계중학교","중학교","37.64136991","127.0723336"
"석촌중학교","중학교","37.50145499","127.1211174"
"국사봉중학교","중학교","37.49353263","126.9440557"
"서울과학고등학교","고등학교","37.59154805","126.9984363"
"석관고등학교","고등학교","37.60958929","127.0667176"
"홍은중학교","중학교","37.59189151","126.9357524"
"송파중학교","중학교","37.49592462","127.1299138"
"문창중학교","중학교","37.49580287","126.9224055"
"고척중학교","중학교","37.49974083","126.8613425"
"해성국제컨벤션고등학교","고등학교","37.5818726","127.0569769"
"성수중학교","중학교","37.54734181","127.0382534"
"서울도봉초등학교","초등학교","37.67996175","127.0382887"
"서울장수초등학교","초등학교","37.5129972","126.8451597"
"전농중학교","중학교","37.58204428","127.0592794"
"중화고등학교","고등학교","37.60481461","127.0836541"
"서울구암초등학교","초등학교","37.48921747","126.9462717"
"정화여자중학교","중학교","37.58604864","127.0410078"
"서울당서초등학교","초등학교","37.53202744","126.8998142"
"용화여자고등학교","고등학교","37.65913138","127.0582807"
"동도중학교","중학교","37.54670177","126.9469053"
"서울구로남초등학교","초등학교","37.48420602","126.8902182"
"강남중학교","중학교","37.50276263","126.9233466"
"서울광희초등학교","초등학교","37.56729928","127.0156879"
"진명여자고등학교","고등학교","37.52404701","126.8658566"
"서울신천초등학교","초등학교","37.5140111","127.0950476"
"서울신계초등학교","초등학교","37.62979163","127.052769"
"서울문정초등학교","초등학교","37.48907284","127.1290135"
"신구중학교","중학교","37.52744229","127.0316727"
"신림고등학교","고등학교","37.47921049","126.9169672"
"서울문성초등학교","초등학교","37.47491196","126.8994492"
"경인고등학교","고등학교","37.49599268","126.8654289"
"신도림중학교","중학교","37.51074073","126.8848071"
"휘경여자중학교","중학교","37.58190052","127.0674341"
"서울신림초등학교","초등학교","37.47711985","126.9268767"
"서울미술고등학교","고등학교","37.47669631","126.9667485"
"서울신학초등학교","초등학교","37.66122045","127.0257213"
"서울청량초등학교","초등학교","37.5923094","127.0559085"
"서울창경초등학교","초등학교","37.65660218","127.0346025"
"상계중학교","중학교","37.65260154","127.0689222"
"미림여자정보과학고등학교","고등학교","37.4661018","126.9319279"
"문현중학교","중학교","37.48058417","127.1279464"
"염창중학교","중학교","37.55426407","126.8717473"
"서울원당초등학교","초등학교","37.48128046","126.9562493"
"방원중학교","중학교","37.57597576","126.8086174"
"서울숭신초등학교","초등학교","37.56781934","127.0278897"
"오류고등학교","고등학교","37.50035507","126.827683"
"경희고등학교","고등학교","37.59394914","127.054891"
"서울잠원초등학교","초등학교","37.501859","126.9980966"
"상원중학교","중학교","37.67176621","127.0595044"
"우신중학교","중학교","37.49490231","126.8263536"
"동작고등학교","고등학교","37.48260194","126.9650863"
"광신방송예술고등학교","고등학교","37.4644762","126.9259406"
"신림중학교","중학교","37.47032734","126.946004"
"배문고등학교","고등학교","37.54999783","126.9639041"
"서문여자중학교","중학교","37.48891973","126.9845622"
"서울대학교사범대학부설중학교","중학교","37.59582047","127.0391333"
"무학중학교","중학교","37.55768336","127.0319746"
"등촌중학교","중학교","37.55248221","126.8592148"
"이화여자대학교사범대학부속이화·금란중학교","중학교","37.56264282","126.9444886"
"홍익대학교사범대학부속여자중학교","중학교","37.55964474","126.9132084"
"서울거원초등학교","초등학교","37.48762503","127.144909"
"경문고등학교","고등학교","37.49341886","126.9822734"
"성동고등학교","고등학교","37.56411643","127.0223892"
"한가람고등학교","고등학교","37.53746204","126.8840075"
"전동중학교","중학교","37.58619359","127.0709291"
"봉화중학교","중학교","37.59582753","127.1043156"
"관악중학교","중학교","37.48125828","126.9619123"
"서울송천초등학교","초등학교","37.6149052","127.0237354"
"서울서정초등학교","초등학교","37.52345012","126.8672362"
"서울방일초등학교","초등학교","37.4852056","126.998849"
"서울하늘초등학교","초등학교","37.5858088","126.8808619"
"대일고등학교","고등학교","37.5394887","126.8634031"
"서울목동초등학교","초등학교","37.52280877","126.8721195"
"등촌고등학교","고등학교","37.56294522","126.8450461"
"휘경여자고등학교","고등학교","37.58190052","127.0674341"
"서울신답초등학교","초등학교","37.57270461","127.0429617"
"현대고등학교","고등학교","37.5254805","127.0223773"
"을지중학교","중학교","37.64978791","127.0717084"
"서울남부초등학교","초등학교","37.48511944","126.9221838"
"서울신영초등학교","초등학교","37.50100602","126.8960948"
"대경중학교","중학교","37.55637326","127.0169792"
"가락고등학교","고등학교","37.50107579","127.1164258"
"오금중학교","중학교","37.50527064","127.1288011"
"거원중학교","중학교","37.48772386","127.1465491"
"문일중학교","중학교","37.44891526","126.8987207"
"서울신원초등학교","초등학교","37.52950283","126.829855"
"서울면일초등학교","초등학교","37.5920416","127.0997947"
"서운중학교","중학교","37.49394851","127.0245382"
"서울난향초등학교","초등학교","37.46282189","126.9183368"
"동국대학교사범대학부속중학교","중학교","37.57804718","127.0751705"
"인덕과학기술고등학교","고등학교","37.63034387","127.0544999"
"덕원여자고등학교","고등학교","37.54862258","126.8290245"
"서울사당초등학교","초등학교","37.47383628","126.9733501"
"서울면남초등학교","초등학교","37.57725972","127.0876664"
"당곡고등학교","고등학교","37.49176034","126.9342464"
"난우중학교","중학교","37.46680396","126.9228283"
"서울송화초등학교","초등학교","37.56815047","126.8180329"
"양재고등학교","고등학교","37.48242164","127.0320796"
"서울종암초등학교","초등학교","37.58230741","127.0318564"
"경희여자중학교","중학교","37.59394914","127.054891"
"서울서빙고초등학교","초등학교","37.52206892","126.9923004"
"문래중학교","중학교","37.52041829","126.8841404"
"서울면북초등학교","초등학교","37.59441816","127.1035478"
"서울영동초등학교","초등학교","37.52700691","126.9077034"
"서울미동초등학교","초등학교","37.56335057","126.9658506"
"서울본동초등학교","초등학교","37.50992508","126.9538508"
"난곡중학교","중학교","37.47804558","126.9107916"
"강일중학교","중학교","37.5553497","127.1382586"
"송정중학교","중학교","37.55315807","126.8152435"
"상도중학교","중학교","37.4909219","126.9614756"
"오산고등학교","고등학교","37.52350529","127.0008872"
"이수중학교","중학교","37.48063003","126.989859"
